class_name,question,id
ORDER,i dont know how  to purchase several products,18993
REFUND,i have to check how long reimbursements take i need help,6444
CANCEL,I'd like to see the withdrwaal fee how can i do it,3589
PAYMENT,want assistance notifying of problems with online payment,18883
REFUND,can uhelp me demanding a rebate,16439
FEEDBACK,I want to oldge a claim against your business,7013
REFUND,I expect a reimbursmeent of {{Refund Amount}} dollars,26545
SHIPPING,"I need to set a secondary delivery address up, help me",23178
SHIPPING,support setting up my shipoing address,22993
CONTACT,can ya help me speaking with an assistant,9368
INVOICE,how can I get the bills from {{Person Name}}?,15177
SHIPPING,"the delivery address changed, could I change it?",2921
FEEDBACK,help me submitting some feedback for your products,22230
DELIVERY,want help seeing how long it takes for my order to arrive,13724
SHIPPING,I try to set  up my goddamn shipping address,22893
CANCEL,I do not know how I can see the cancellation fees,3035
INVOICE,need help downloading my invoices from {{Person Name}},15173
ACCOUNT,i have to use the {{Account Type}} account will ya help me,24299
SUBSCRIPTION,i need help subscribing to the corporate newsletter,17416
CONTACT,assistance to see what hours i can contact customersupport,8746
DELIVERY,I am trying to check how soon can I expct my parcel,13208
FEEDBACK,want help making a claim against ur organization,7685
PAYMENT,how can i list the allowedd payment options,5038
REFUND,i want help seeing in what cases can i ask to be refunded,6715
REFUND,I do not know how I can request refunds of money,16154
INVOICE,where do I download the invoices from {{Person Name}}?,15146
FEEDBACK,I want assistance filing a customer claim,7126
REFUND,I am waiting for a restitution of {{Refund Amount}} dollars,26156
CANCEL,"I have to see the withdrawal penalties, help me",3624
INVOICE,I need assistance downloading the invoice from {{Person Name}},15390
REFUND,i need assistance getting compensations of my money,16140
CONTACT,help me seeing what hours I can call customer service,8352
DELIVERY,tell me more about shipping period,13087
ACCOUNT,i need assistance restoring my pin,20581
PAYMENT,how can i notify of issues with online payment,18165
CANCEL,are there early exit fees?,3752
CANCEL,can you help me to check the early exit fees?,3270
ORDER,edtiing order {{Order Number}},1417
INVOICE,I don't know how to check my fucking invoices from {{Person Name}},4675
DELIVERY,want help checking when will my product arrive,13175
DELIVERY,i have got to see when mh delivery is gonna arrive,13563
ACCOUNT,changkng to pro account,24455
ACCOUNT,I have a question about opening freemium accounts,10146
SUBSCRIPTION,I can't subscribe to the newsletter,17765
SHIPPING,could I set up the shipping address?,23818
SUBSCRIPTION,i need help unsubscribing to the newsletter,17429
REFUND,any news on the refund,26455
SHIPPING,I need support updating the delivery address,2571
CONTACT,I am trying to see what hours customer service available is,8779
SHIPPING,where do I enter the secondary shipping address?,22909
INVOICE,is it possible to give a quick look at the invoice #12588,4494
ACCOUNT,another freemium accounmt for father,10385
ORDER,updating order {{Order Number}},1044
DELIVERY,help seeing how long it takes for my shipment to arrive,13577
PAYMENT,how do I list the allowed payment methods?,5223
DELIVERY,help checking how soon can I expect the product,13074
SHIPPING,information about modifying the delivery address,2422
REFUND,what si your money back guarantee?,6349
REFUND,help me to see your goddamn refund policy,6829
FEEDBACK,i dont know what i need to do to send some feedback,22195
PAYMENT,i do not know how to check the allowed payment modalities,5823
SUBSCRIPTION,I want assistance to sign up to the newsletter,17738
ACCOUNT,I am trying to notify of issues with registrations,21363
SUBSCRIPTION,I want help to unsubscribe to your company newsletter,17848
SUBSCRIPTION,assistance subscribing to the company newsletter,17176
SHIPPING,"I entered a wrong address, will you help me update it?",2095
CANCEL,how can I check the termination charge?,3481
PAYMENT,could you help menotifying of troubles with online payment?,18359
ACCOUNT,another standard account,10323
SHIPPING,I need assistance submitting my secondary delivery address,23321
REFUND,"I expect a compensation of {{Refund Amount}} dollars, was it processed",26375
SHIPPING,is it possible to enter another shipping address,23170
INVOICE,send me my bill from {{Person Name}},15097
REFUND,i do not know hoow i could check ur reimbursement policy,5917
ACCOUNT,i need assistance restoring the key of my profile,20215
INVOICE,I call to get my bills from {{Person Name}},15486
CONTACT,"I want to speak with customer service, helpme",8258
REFUND,i expect a damn restitution of {{Refund Amount}} dollars was it processed,26291
REFUND,I can't see if there is anything new on the compensation,26561
INVOICE,check invoice from {{Person Name}},4841
SUBSCRIPTION,help me cancel the subscription to ur newsletter,17239
REFUND,see in what situations can I ask to be refunded,6327
FEEDBACK,I'm trying to submit some feedback about a service,22358
SHIPPING,want assistance updating the address,2115
ORDER,I need to add some articles to purchase {{Order Number}},1034
DELIVERY,help me see what damn shipment methods are available,11974
REFUND,I need to see if there is anything new on the compensation,26696
CONTACT,assistance checking what hours I can call customer service,8800
SUBSCRIPTION,assistance signing up to the company newsletter,17777
SUBSCRIPTION,give me information about signing up to your newsletter,17434
ORDER,order {{Order Number}} current status,25121
SHIPPING,need help to set my delivery address up,23326
DELIVERY,where do i check how soon can i expect the delivery,13688
ACCOUNT,how to change to the standard account?,24569
ACCOUNT,i do not know what i need to do to restore my pin code,19895
ACCOUNT,how do i create a freemium account,10080
ORDER,I want help to change purchase {{Order Number}},1448
ACCOUNT,give me information about {{Account Type}} account cancellations,11014
REFUND,i expect a reimbursement of {{Currency Symbol}}{{Refund Amount}},26107
INVOICE,I do not know what I need to do to get the invoice #85632,15745
ORDER,need to change several proucts of order {{Order Number}},1178
REFUND,need to see in which situations can i ask for refunds,6665
DELIVERY,can I check how long it takes for the product to arrive?,13878
ORDER,help me to change a product of purchase {{Order Number}},1461
ORDER,check order {{Order Number}} current status,24984
DELIVERY,I need to check how long it takes for my shipment to arrive,12904
CANCEL,i want help tosee the withdrawal fee,3218
CONTACT,I don't know how I can cotnact somebody,8943
INVOICE,"I want to give a quick look at my bill #00108, help me",4188
CANCEL,can ya help me seeing the terminatio penalties,3233
INVOICE,wanna download invoice #85632,15332
INVOICE,what do i have to do to check my invoice from {{Person Name}},4260
DELIVERY,can i order from {{Delivery City}},12369
SUBSCRIPTION,need to receive the damn newsletter will uhelp me,17718
SHIPPING,"I submitted a wrong address by mistake, could I update it?",2937
REFUND,help to check in which cases can I ask to be refunded,6489
PAYMENT,where to check what payment options are accepted?,5598
REFUND,assistance checking in which cases can i ask to be refunded,6438
SUBSCRIPTION,"I want to unsubscribe to your newsletter, I need help",17421
SHIPPING,problems setting up the delivery address,23765
REFUND,how can I get refunds of my money?,16512
SHIPPING,I need assistance trying to change my address,2251
SHIPPING,there is an error trying to edit the shipping address,2902
CANCEL,show me the early exit penalty,3680
ACCOUNT,I have to report signup issues,21138
ACCOUNT,where can i report a sign-up issue,21537
REFUND,assistance to see how long reimbursements usually take,6471
INVOICE,help me download the invoice #12588,15192
DELIVERY,can ya hepl me see when will my item arrive,13435
FEEDBACK,"my experience with you was too bad, lodge a complaint",7660
CONTACT,i dont know what to do to call customer support,8819
PAYMENT,"I have got to list your bloody payment options, I need help",5397
FEEDBACK,wanna send my bloody feedback for ur products can ya help me,22154
DELIVERY,can you help me checking when will my product arrive?,13579
ORDER,help acquiring some items,19758
CANCEL,help checking the termmination fees,3498
CONTACT,i cannot talk with a operator,9904
FEEDBACK,is there an address to send feedback for ur services,22077
FEEDBACK,want help to leave a review about a service,22031
DELIVERY,is it possible to order from {{Delivery Country}}?,12255
SHIPPING,can i submit my new delivery address,23131
DELIVERY,I need to see how soon can I expect my shipment,13411
FEEDBACK,i want help writing a comment for a serrvice,22263
CONTACT,I need help to talk with a human agent,9112
INVOICE,send me bill #85632,15857
INVOICE,I have got to get my bill from {{Person Name}},15617
CONTACT,how can i speak with a person,9406
CONTACT,how do I talk with somebody?,9872
REFUND,I need to see how long reimbursements take,6171
ACCOUNT,modify information on {{Account Category}} account,14734
SHIPPING,I need to update the address,2434
DELIVERY,I want to check when my delivery is going to arrive,13381
ACCOUNT,i need help to cancel a freemium account,11071
ACCOUNT,need assistance to restore my user account PIN code,20336
FEEDBACK,need help leaving a comment about your services,22163
ACCOUNT,can you help me create a {{Account Type}} account?,10259
SHIPPING,I want assistance correcting the delivery address,2736
CONTACT,can you help me contact a human agent?,9261
CANCEL,can I see the termination penalty?,3700
DELIVERY,i dont know how i can see how soon can i expect my order,13497
SUBSCRIPTION,I want assistance to subscribe to your company newsletter,17610
REFUND,I don't know how I can ask for a reimbursement,16089
ACCOUNT,i do not know what to do to notify of a sign-up issue,21345
INVOICE,how can I give a quick look at my invoice #12588?,4822
REFUND,how long till i get a compensation of mnoney,16837
SUBSCRIPTION,wanna know more about my corporate newsletter subscription,16958
PAYMENT,"I cannot pay, help me to inform of a problem with payments",18500
DELIVERY,can I place an order from {{Delivery City}}?,11934
PAYMENT,assistance to see your allowed payment options,5445
INVOICE,getting invoice from {{Person Name}},15526
PAYMENT,want assistance notifying of payment issues,18584
CANCEL,can uhelp me ot check the goddamn early exit penalties,3725
FEEDBACK,i dont know what to do to fgile a consumer claim,7221
PAYMENT,help me see your allowed payment modalities,5174
PAYMENT,how can I inform of a trouble with payments?,18449
SUBSCRIPTION,I want help cancelling my subscription to your newsletter,17246
CONTACT,i have to contact an agent,9541
PAYMENT,how could I inform of errors with payment?,17922
DELIVERY,I need assistance to see what shipment options you offer,12808
REFUND,i dont know what i need to do to obtain a rebate of my money,16879
PAYMENT,need assistance informing of problems with online payment,18644
CANCEL,I want assistance seeing the bloody cancellation fee,3050
PAYMENT,how to repoft troubles with online payment,18072
ORDER,I try to edit purchase {{Order Number}},1702
INVOICE,I do not know how I can download the invoices from {{Person Name}},15354
PAYMENT,how to report errors with payment,18179
PAYMENT,how to report an error with online payments,18686
DELIVERY,I am calling to see what shipment methods are there,12419
FEEDBACK,I want help filing a customer complaint,7396
SHIPPING,I want help entering the delivery address,23703
FEEDBACK,how to send some feedback about your company?,22426
CANCEL,i have to check the cancellation penalty,3546
FEEDBACK,"I have got to submit feedback for a service, how to do it?",22565
REFUND,I expect a refund of {{Refund Amount}} dollars,25875
PAYMENT,I want help to report a bloody error with onlien payments,18658
SUBSCRIPTION,I cannot see the status of my newsletter subscription,16955
CONTACT,need to speak to customersupport can ya help me,8763
ACCOUNT,i dont know what to do to notify of an issue with a sign-up,21585
INVOICE,i dont know what to do  to download bill #85632,15608
INVOICE,download bills from {{Person Name}},14939
ACCOUNT,information about the termination of my {{Account Category}} account,11157
CANCEL,where do I check the termination fees?,3373
CONTACT,how can i talk with an opertaor,9308
SHIPPING,help entering the delivery address,22982
FEEDBACK,can you help me make a claim against your company?,7584
SHIPPING,assistance correcting my delivery address,2502
ACCOUNT,need assistance retrievign my user password,20540
PAYMENT,I try to list your payment methods,5400
DELIVERY,can i order from {{Delivery Country}},12664
CANCEL,where could I see the early exit penalties?,3837
CONTACT,i dont know what i need to do to speak to customer service,8857
ACCOUNT,modifying ingormation on {{Account Category}} account,14284
REFUND,help checking in which cases can I ask to be reimbursed,6484
CONTACT,I need help talking with customer service,8336
SHIPPING,"I want to enter the delivery address, how to do it?",23399
CONTACT,is it possible to talk to customer assistance ?,8507
SUBSCRIPTION,I need help cancelling my company newsletter subscription,17465
SHIPPING,i dont know what i have to do to edit my shipping address,2947
INVOICE,get invoice #85632,15244
SHIPPING,help trying to edit my delivery address,2550
CONTACT,I need help chatting with an operator,9400
ORDER,ened help with cancelling purchase {{Order Number}},211
REFUND,check refund status,26009
PAYMENT,need to see ur payment methods,5224
PAYMENT,where can I list the payment options?,5456
PAYMENT,I would like to inform of troubles with online payments,18603
ACCOUNT,help me to report an issue with signup,21839
INVOICE,i dont know what ihave to do to find my bill #37777,4536
ORDER,want help to acquire several of your product,19028
PAYMENT,help solving a trouble with online payment,18320
PAYMENT,want assistance informing of a trouble with payment,18168
SHIPPING,what do I need to do to  submit a delivery address?,23539
INVOICE,find my bills from {{Person Name}},4403
SHIPPING,I want help to set up my delivery address,22885
ACCOUNT,I need assistance changing to the premium account,23977
FEEDBACK,wanna file a consumer complaint aganst ur organization,7644
CANCEL,I need assistance to check the goddamn withdrawal charge,3380
SUBSCRIPTION,assistance subscribing to your newsletter,17320
INVOICE,download bill #12588,15896
FEEDBACK,I want help to leave fucking feedback for your services,22066
PAYMENT,I want assistance seeing your bloody payment options,5689
CONTACT,help to speak with customer support,8151
CANCEL,where do i check the withdrawal fees,3299
FEEDBACK,"I need to send some feedback for a service, how do I do it?",22625
PAYMENT,list the allowed payment modaliites,5046
REFUND,"I expect a restitution of {{Currency Symbol}}{{Refund Amount}}, was it processed",26802
ACCOUNT,i cant sign up want assistance to report sign-up problems,21848
CANCEL,I have got to see the early exit fee,3564
FEEDBACK,I have to leave my feedback for a product,22448
DELIVERY,need help checking what shipment options I have,12249
INVOICE,I'd like to get the bill from {{Person Name}} how to od it,15293
ACCOUNT,update inforemation on {{Account Category}} account,14648
ACCOUNT,help me reset my user pwd,20245
DELIVERY,help to see how soon can i expect my product,13889
ACCOUNT,modify info on {{Account Category}} account,14484
ACCOUNT,where do i notify of issues with signup,21677
ORDER,I have got to see purchase {{Order Number}} current status,25378
FEEDBACK,i call to leave some feedack,22246
INVOICE,i need help to give a quick look at my bills from {{Person Name}},4597
PAYMENT,I want assistance to notify of troubles with payments,18182
CANCEL,wanna see the withdrawal charges how can i do it,3562
CANCEL,what is the fee for breaking the contract,3243
SUBSCRIPTION,can you help me sign up to the company newsletter?,17498
FEEDBACK,what do I have to do to leave a review about a servie?,21912
FEEDBACK,where can i file a customer complaint agaist ur company,7759
DELIVERY,do ya deoiver to {{Delivery City}},12332
SHIPPING,there are troubles correcting the shipping address,2524
CANCEL,help seeing the termination charges,3248
CONTACT,"I would like to talk with a person, how do I do it?",9445
CONTACT,i want assistance chatting with a person,9644
CANCEL,i do not know how to check the early termination fee,3186
SHIPPING,i need assistance entering a secondary delivery address,23397
ORDER,need assistance checking order {{Order Number}} status,25151
PAYMENT,I am trying to check the accepted payment modalities,5262
FEEDBACK,do you have a method to send some feedback for a product ?,22055
FEEDBACK,I try to make a consumer reclamation,7297
REFUND,help seeing in what cases can i request refunds,6271
INVOICE,I have to locate my invoice #37777,3974
FEEDBACK,were can i submit some feedback for a product,22150
CANCEL,assistance seeing the termination penalty,3105
ACCOUNT,i try to create a damn {{Account Category}} account,10006
REFUND,i have got to see in which situations can i request a refund,6861
DELIVERY,how do I see what shipping methods you offer?,12156
INVOICE,i want aswsistance taking a quick look at the invoice #85632,4588
REFUND,see in which situations can I request to be reimbursed,6396
INVOICE,assistance to look for the bill from {{Person Name}},4225
DELIVERY,where can i find information about the delivery periods,13575
CANCEL,I can't find the early terminatuon penalty,3538
PAYMENT,help me report problems with online payment,18481
PAYMENT,can ya help me notify of an issue with payment,18820
SUBSCRIPTION,help me unsubscribe from ur corporate newsletter,17517
INVOICE,where can I give a quick look at invoice #37777?,4169
INVOICE,mail me the bills from {{Person Name}},15191
PAYMENT,I have got to report payment problems,18029
CONTACT,help to get in touch with customer support,8629
CONTACT,I don't know what I need to do to contact customer service,8147
REFUND,want help checking in wht situations can i request refunds,6213
CANCEL,I do not know how to see the early termination charge,3494
SUBSCRIPTION,"I have got to unsubscribe to the newsletter, how do I do it?",17832
FEEDBACK,can you help me tyo send my feedback for a service?,22438
ACCOUNT,I want help to reset the password of my user,20302
DELIVERY,how to see the methods for delivery,12186
CANCEL,where can I see the withdrawal charges?,3857
CONTACT,can yahelp me contacting customer support,8023
SHIPPING,I have an issue entering a new shipping address,23161
CANCEL,can ya help me see the early termination fee,3581
PAYMENT,could you help me listing the allowed payment modalities?,5151
SUBSCRIPTION,i have to cancel my subscription to ur newsletter,17423
SUBSCRIPTION,help me to sign up to the corporate newsletter,17306
DELIVERY,"I have to see how soon can I expect the item, help me",12906
REFUND,i paid {{Currency Symbol}}{{Refund Amount}} for this purchase i try to receive a rebate,16732
INVOICE,what do I need to do to download my bills from {{Person Name}}?,15129
ORDER,order a few of your article,19539
DELIVERY,where do i check how long it takes for my article to arrive,13844
PAYMENT,support regarding online pamyent,18230
ACCOUNT,editing info on pro account,14801
SUBSCRIPTION,need assistance subscribing to your newsletter,17079
SUBSCRIPTION,help me to sign up to the company newsletter,17681
ORDER,can uhelp me swappping a product of purchase {{Order Number}},1717
DELIVERY,help me checking what delivery methods I have,12138
ACCOUNT,I do not know how to update the info included on my profile,14438
SHIPPING,i have errors setting the secondary shipping address up,23418
CANCEL,want assistance checking the cancellation fees,3550
SUBSCRIPTION,need to receive the newsletter,17545
REFUND,help me to obtain rebates  of money,16438
SUBSCRIPTION,can you tell me about my newsletter subscription?,17258
INVOICE,I don't know how I could download my invoice #00108,15080
ORDER,where to acquire several items,19168
FEEDBACK,i dont know what to do to submit feedback about a service,22489
PAYMENT,i dont know how i can report damn issues with payments,18802
CANCEL,I need help checking the early exit fee,3625
PAYMENT,can you help me notifying of troubles with online payment?,18169
CANCEL,help checking the early exit charges,3449
DELIVERY,d uship to {{Delivery City}},12033
CONTACT,how can I talk with a human agent?,9202
ORDER,modifying purchase {{Order Number}},1233
CONTACT,I have to talk with a person,9633
CONTACT,help seeing what hours customer assistance available is,8898
FEEDBACK,I want help to file a consumer reclamation,7618
CANCEL,I need assistance checkng the early exit penalties,3425
SUBSCRIPTION,I do not know how I can sign up to the corporate newsletter,17093
SUBSCRIPTION,wanna know about the subscription to the company newsletter,17034
ORDER,help me to buy several of ur article,19070
REFUND,want help to obtain a compensation of money,16437
REFUND,could you help me receiving compensations of my money?,16648
PAYMENT,I don't know what I have to do to report payment problems,18502
CONTACT,help me to contact someone,9457
SUBSCRIPTION,how to cancel the subscription to your corporate newsletter?,17207
SUBSCRIPTION,I want to unsubscribe from the newsletter,17408
FEEDBACK,product review,22335
INVOICE,is it possible to find my bill from {{Person Name}}?,4425
ORDER,can you help me to earn several products?,19597
INVOICE,how do I download my bills from {{Person Name}}?,15184
SUBSCRIPTION,help me checking the status of my newsletter subscription,17530
INVOICE,see the bill from {{Person Name}},4042
DELIVERY,help me see how soon can i expect the parcel,13648
DELIVERY,where can I see how long the shipment takes?,13477
ORDER,i want help changing an item of order {{Order Number}},1263
ORDER,help me to buy some products,19344
FEEDBACK,I try to file a  claim,7038
SHIPPING,there is an issue setting up the shipping address,23009
REFUND,i expect a compensation of {{Refund Amount}} dollars,26529
CONTACT,I try to see what hours I can reach customer assistance,8466
REFUND,i do not know what to do to receive restitutions of money,16698
REFUND,i dont know what i need to do to see ur reimbursement policy,6567
SHIPPING,I have problems entering a different shipping address,23303
FEEDBACK,want help to submit some feedback about your services,22729
CONTACT,speaking with assistant,9172
SUBSCRIPTION,how can i find information about my newsletter subscription,17842
FEEDBACK,need assistance lodging a reclamation against your company,7341
ACCOUNT,want help opening a {{Account Category}} account,10090
FEEDBACK,need help submitting bloody feedback for a service,22168
FEEDBACK,I'm not happy with ur work how do i make a claim,7212
SHIPPING,i need help trying to correct my shipping address,2234
FEEDBACK,i want help to leave a comment about ur services,22157
CONTACT,uhave a free of charge number to talk with customer support,8490
PAYMENT,how can I notify of an error with online payment?,17948
REFUND,I have to see in which cases can I ask to be reimbursed,6445
SUBSCRIPTION,"I need to unsubscribe from the newsletter, can yyou help me?",17688
SHIPPING,"I have got to submit a shipping address, help me",23653
SHIPPING,what do i need to do to set up a different shipping address,23584
SUBSCRIPTION,I have to receive your corporate newsletter,17449
CONTACT,I want assistance chatting with an operator,9546
INVOICE,what do i have to do to download my invoice #12588,15629
PAYMENT,I want assistance to solve a problem with payment,18622
INVOICE,I need assistance to dfownload my invoice #37777,15382
ACCOUNT,need help touse the freemium account,24480
ACCOUNT,watn assistance removing a standard account,10955
SHIPPING,set new shipping address up,23792
PAYMENT,i need help to inform of issues with online payments,17928
CANCEL,I want help seeing the cancellation charge,3327
REFUND,I need assistance receiving compensations of my money,16369
CONTACT,I do not know what I need to do to talk with a person,9858
SUBSCRIPTION,I want to know more about my newsletter subscription,17705
DELIVERY,"I have got to see how long the shipment takes, I need help",13192
PAYMENT,how do I report errors with online payments ?,18041
CANCEL,help me checking the withdrawal fee,3684
CONTACT,can ya help me speak to customer service,8619
DELIVERY,how do I check the methods for shipping?,12522
CANCEL,I wanmt assistance checking the cancellation penalty,3104
SUBSCRIPTION,want help receiving your company newsletter,17053
SUBSCRIPTION,assistance seeing the status of my newsletter subscription,16954
CONTACT,where to see what hours i can reach customer service,8759
SUBSCRIPTION,need help receiving ur cororate newsletter,17328
SUBSCRIPTION,help me sign up to the corporate newsletter,17584
CANCEL,"I have to check the fucking withdrawal charges, I need help",3054
SHIPPING,"I would like to set the shipping address up, I need help",23232
ACCOUNT,could you help me create a {{Account Type}} account for my daughter?,9993
CONTACT,anybody available in customer support,7984
DELIVERY,I am calling to see when will my product arirve,13157
REFUND,I want help to ask for my money back,16445
INVOICE,I don't know how I can check my bill #37777,4234
SUBSCRIPTION,where to cancel the subscription to ur company newsletter,17132
PAYMENT,can I check the available payment options ?,5169
SUBSCRIPTION,help me cancel the subscription to your company newsletter,17327
INVOICE,i want assistance downloading the bills from {{Person Name}},15888
CONTACT,help me to call customer support,8308
CANCEL,need help seeing the termination chaeges,3166
DELIVERY,is it possible to place an order from {{Delivery Country}},12486
CONTACT,do ya have an e-mail to contact customer support,8013
ORDER,is it possible to order several of your article?,19322
INVOICE,i do not know how i acn look for the bills from {{Person Name}},4488
ORDER,I ma trying to see the status of order {{Order Number}},25762
REFUND,can ya show me in what cases can i ask for a reimbursement,6681
ORDER,is it possible to acquire several of ur article,19473
SHIPPING,y i cannot set up the secondary shipping address valid,23544
INVOICE,what do i have to do to give a quick look at my bill #00108,4216
ORDER,I canno longer afford purchase {{Order Number}},937
REFUND,reimburse {{Refund Amount}} dollar,16189
ORDER,want help deleting something from order {{Order Number}},1116
INVOICE,I need assistance downloading invoice #85632,15158
ORDER,I nee assistance to cancel purchase {{Order Number}},594
FEEDBACK,can you help me write a comment about your products?,22277
CONTACT,uhave a free number to get in touch with customer assistance,8837
CONTACT,I need to speak with a human agent,9031
ORDER,i have a question about cancelling order {{Order Number}},903
REFUND,can ya help me receive rebates,16718
FEEDBACK,do you have a way to send feedback for a service?,21914
PAYMENT,can you help me to check what payment options you accept?,5692
CANCEL,I need help seeing the cancellation fee,3401
CANCEL,are there any cancellation charges?,3797
DELIVERY,deliveries to {{Delivery City}},12453
REFUND,how do I see the status of the reimbursement?,26736
SHIPPING,ido not know how i can submit the new shipping address,23564
ACCOUNT,editing details on {{Account Type}} account,14587
FEEDBACK,I do not know how I can file a claim against your business,7722
INVOICE,i call to get my invoice from {{Person Name}},15717
ORDER,correct purchase {{Order Number}},1055
SUBSCRIPTION,would it be possible to sign up to the company newsletter?,17363
INVOICE,is it possible to locate my damn bill from {{Person Name}}?,4912
INVOICE,where to download my bills from {{Person Name}}?,15188
ORDER,help  me canceling purchase {{Order Number}},14
ORDER,ETA of ordr {{Order Number}},25599
ACCOUNT,can I notify of problems with signup?,21136
CONTACT,can I see at what time customer service available is?,8230
FEEDBACK,i wabt assistance to send my feedback for a service,22527
INVOICE,assistance giving a quick look at my bill from {{Person Name}},4038
SHIPPING,error setting up a damn new shipping address,23549
FEEDBACK,help me tro leave feedback for your services,22515
CANCEL,"I need to see the cancellation fee, can you help me?",3398
FEEDBACK,i dont know what i have to do to lodge as consumer claim,7145
INVOICE,checking bill #00108,4456
SHIPPING,I need assistance to enter the new shipping address,23115
SHIPPING,problems setting a new delivery address up,23117
REFUND,i do not know how i can ask for rebates,16459
INVOICE,I do not know how to look for the bill from {{Person Name}},4017
PAYMENT,wanna see  the payment methods help me,5500
REFUND,i want assistance obtaining a compensation of money,16719
PAYMENT,help me seeing your accepted payment methods,5588
CONTACT,is it possible to speakto a person?,9840
ORDER,I want assistance acquiring several of your product,19860
PAYMENT,I am trying to notify of problems with online payment,18406
FEEDBACK,i have to make a claim against ur business,6970
