class_name,question,id
DELIVERY,help checking how soon can I expect the product,13074
SHIPPING,"I submitted a wrong address by mistake, can you edit it?",2767
ORDER,"I want to see the status of order {{Order Number}}, I need help",25505
REFUND,I do not know what I need to do to ask for a compensation,15954
CANCEL,how can I check the termination charge?,3481
ACCOUNT,can I notify of problems with signup?,21136
INVOICE,mail me the bills from {{Person Name}},15191
FEEDBACK,I do not know what I need to do to file a customer complaint,7484
CANCEL,I have got to check the early exit fee,3892
CONTACT,i do not kniw what i need to do to speak with a human agent,9899
CANCEL,is it possible to see the withdrawal penalties,3028
ACCOUNT,how do I use the premium profile?,24185
PAYMENT,assistance to see your allowed payment options,5445
DELIVERY,"I want to see what shipment options I can choose, help me",12845
DELIVERY,could oyu tell me about fucking shipping periods?,13248
CONTACT,i need assistance to talk with someone,8967
FEEDBACK,do ya have an e-mail to submit some feedback for a product,22374
ORDER,wanna modify purchase {{Order Number}},1491
REFUND,i dont know how i can receive a reimbursement,16014
SHIPPING,I have a trouble changing my delivery address,2232
REFUND,can i check in which cases can i request reimbursements,6403
PAYMENT,i dont know how i can report a trouble with payments,18183
PAYMENT,where do I report an error with online payment?,18813
SHIPPING,"I entered a wrong shipping address, how do I correct it?",2490
DELIVERY,how to check how soon can i expect the item,13126
REFUND,I expect a rebate of {{Refund Amount}} dollars,25892
SUBSCRIPTION,can I unsubscribe to your corporate newsletter?,17440
REFUND,I want to check your reimbursement policy,6907
ACCOUNT,create freemium account,10457
CONTACT,I am trying to see what hours customer service available is,8779
PAYMENT,I want assistance seeing your bloody payment options,5689
INVOICE,i have got to get my invoice #12588 can i get some help,15531
ACCOUNT,i do not know what i need to do to restore my pin code,19895
DELIVERY,can i place a damn order from {{Delivery Country}},12487
DELIVERY,help me seeing what methods for delivery I can choose,12025
SUBSCRIPTION,where to unsubscribe from the corporate newsletter,17572
FEEDBACK,i do ont know how to send fucking feedback for a service,22573
SUBSCRIPTION,can you help me unsubscribing to the company newsletter?,17729
CANCEL,i do not know how i can see the cancellation charge,3329
INVOICE,"I have to look for my bill #85632, could I get some help?",4207
INVOICE,I call to get my bills from {{Person Name}},15486
ORDER,need help swapping a item of purchase {{Order Number}},1174
INVOICE,i dont know what ihave to do to find my bill #37777,4536
DELIVERY,I am calling to see what delivery options I have,12835
REFUND,help me seeing if there are any news on my reimbursement,26414
SHIPPING,I do not know how to enter the secondary shipping address,23020
CANCEL,I need to see the cancellation fees,3408
SHIPPING,i have sisues setting up my secondary shipping address,23692
SHIPPING,error modifying address,2793
CONTACT,I want help to talk to a live agent,8947
CONTACT,uhave a mail address to get in touch with customer support,8399
SHIPPING,"I need to set a damn shipping address up, will you help me?",23011
REFUND,what si your money back guarantee?,6349
INVOICE,send me bill #85632,15857
DELIVERY,can you show me how soon can I expect the shipment?,13349
DELIVERY,where do I see when my item is going to arrive?,13395
SHIPPING,help me modifying the adress,2529
ACCOUNT,i dont know what to do to inform of a bloody signup problem,21206
ACCOUNT,give me information about the deletion of my {{Account Type}} account,11522
ORDER,can you help me canceling purchase {{Order Number}}?,809
DELIVERY,i have got to see when mh delivery is gonna arrive,13563
SHIPPING,I need assistance to set my secondary delivery address up,23829
ORDER,want assistance to cancel order  {{Order Number}},32
REFUND,I want assistance to receive restitutions of money,16227
PAYMENT,help me report problems with online payment,18481
FEEDBACK,I need assistance leaving a review about a service,22819
INVOICE,check invoice from {{Person Name}},4841
PAYMENT,report an error with payments,18437
ACCOUNT,need assistance notifying of an issue with sign-up,21140
SHIPPING,there is an issue entering my delivery address,23832
CANCEL,I need help to check the early termination fee,3262
ORDER,"I have to earn some articles, help me",19226
SHIPPING,problem entering the shipping address,23196
ACCOUNT,want help opening a {{Account Category}} account,10090
DELIVERY,help me check what methods for delivery you offer,12437
ORDER,how do i remove several articles from order {{Order Number}},1798
FEEDBACK,i have to leave feedback for ur company,22809
REFUND,when am i gonna obtain a reimbursement of money,16494
FEEDBACK,is there an e-mail to submit feedback for your company?,22696
CANCEL,i want help tosee the withdrawal fee,3218
REFUND,i expect a reimbursement of {{Currency Symbol}}{{Refund Amount}},26107
ACCOUNT,I need help creating a premium account for my daughter,9944
CONTACT,i try to speak with someone,9298
PAYMENT,want assistance informing of problems with payments,18239
PAYMENT,I have got to check what payment methods are available,5633
SUBSCRIPTION,"I need to receive the company newsletter, how to do it?",17193
SHIPPING,i have a problem correcting the address,2060
CANCEL,I do not know what I need to do to see the early exit charge,3655
CANCEL,what do I have to do to check the cancellation charges?,3001
ACCOUNT,inform of a registration problem,20987
SUBSCRIPTION,I need assistance unsubscribing to the newsletter,16905
ACCOUNT,where could i switch to the bloody standard account,24439
REFUND,i try to see how long reimbursements take,6423
CANCEL,i try to see the early exit penalty,3469
ACCOUNT,"I cannot remember the key of my profile, help me recover it",20840
ACCOUNT,updaing info on {{Account Type}} account,14583
FEEDBACK,help me tro leave feedback for your services,22515
ACCOUNT,how to notify of registration issues?,20970
SHIPPING,I don't know how I can  submit a new shipping address,23111
SHIPPING,is it possible to set up my shipping address?,23381
ORDER,where to see order {{Order Number}} status?,25653
ACCOUNT,i want a {{Account Category}} account for my dad,10237
SUBSCRIPTION,I don't know what I have to do to sign up to your newsletter,17063
ORDER,deit purchase {{Order Number}},1309
CANCEL,help me to check the withdrawal penalties,3421
REFUND,can you help me check my restitution status?,26602
SUBSCRIPTION,i need help subscribing to the corporate newsletter,17416
REFUND,need to see in which situations can i ask for refunds,6665
CANCEL,I need assistance to check the goddamn withdrawal charge,3380
INVOICE,i dont knw what to do to see the bill from {{Person Name}},4880
SUBSCRIPTION,I am trying to cancel my subscription to your newsletter,17490
ACCOUNT,i have to use the {{Account Category}} account,23955
ACCOUNT,what do I have to do to change t the {{Account Category}} account?,24055
SHIPPING,need assistance trying to change the address,2448
ORDER,track purchase {{Order Number}},25429
SUBSCRIPTION,assistance cancelling the subscription to ur newsletter,16934
SUBSCRIPTION,need assistance subscribing to your newsletter,17079
INVOICE,can uhelp me get my damn bill from {{Person Name}},14974
PAYMENT,i need assistance to notify of troubles with payment,18369
CONTACT,I need help calling customer assistance,8282
FEEDBACK,I want to oldge a claim against your business,7013
ACCOUNT,"I have got to change to the standard account, I need help",23990
CANCEL,i do not know how i can see the early termination penalties,3798
INVOICE,see the bill from {{Person Name}},4633
REFUND,I am waiting for a reimbursement of {{Currency Symbol}}{{Refund Amount}},26517
PAYMENT,i need assistance to notify of an issue with online payment,18386
INVOICE,seebills from {{Person Name}},4502
SUBSCRIPTION,i need assistance to subwcribe to ur newsletter,17142
DELIVERY,I don't know what to do to check when will my parcel arrive,13121
CANCEL,need assistance seeingg the termination charges,3258
SHIPPING,where do I enter my secondary delivery address?,23285
CANCEL,how could I check the goddamn termination fee?,3356
CANCEL,how do I check the termination charge?,3177
CONTACT,how can i speak with a person,9406
ORDER,modifying purchase {{Order Number}},1233
CONTACT,can i see what hours customer support availabl is,8034
PAYMENT,i dont know how i can report damn issues with payments,18802
PAYMENT,where can i report problems with online payment,18589
CANCEL,i have to sede the cancellation charge,3107
PAYMENT,where do I see what bloody payment methods are available?,5470
ORDER,I do not know how to order something,19278
SUBSCRIPTION,give me inormation about my subscription to your newsletter,17669
ACCOUNT,"I no longer need the user, can I remove it?",11334
SHIPPING,i need assistance entering a secondary delivery address,23397
SHIPPING,I have an issue entering a new shipping address,23161
CANCEL,"I have to check the fucking withdrawal charges, I need help",3054
ACCOUNT,where do I restore the PIN of my user account?,20847
CANCEL,I do not know what I need to do to check the withdrawal fees,3446
ORDER,order {{Order Number}} current status,25121
INVOICE,i do not know what i have to do to see bill #85632,4703
FEEDBACK,I have to leave my feedback for a product,22448
REFUND,I expect a restitution of {{Refund Amount}} dollars,26177
PAYMENT,wanna list the bloody accepted payment options how to do it,5029
ACCOUNT,change to {{Account Category}} account,24443
SUBSCRIPTION,help cancelling my corporate newslettersubscription,17223
SHIPPING,need to submit a new shipping adress,23618
CONTACT,how could I see what hours I can call customer assistance?,8281
REFUND,I have to check in what cases can I request a refund,6206
FEEDBACK,can you help me leave an opinion foor a product?,21960
INVOICE,wanna download invoice #85632,15332
CONTACT,do ya have an e-mail address to contact customer support,8168
SUBSCRIPTION,is it possible to cancel my newsletter subscription?,17574
SHIPPING,need assistance to update the shipping address,2249
ORDER,need assistance acquiring an item,19770
DELIVERY,can ya show me when my purchase is gonna arrive,12992
CONTACT,I am trying to speak to an agent,9206
INVOICE,I don't know what I need to do to get the bill #37777,15157
PAYMENT,how can i inform of an error with payment,18621
ACCOUNT,how do I recover my account PIN code?,20461
DELIVERY,is it possible toorder from {{Delivery City}},12221
PAYMENT,want help to  list ur accepted payment options,4983
INVOICE,get invoice #85632,15244
SHIPPING,"I want to enter the delivery address, how to do it?",23399
DELIVERY,can I place an order from {{Delivery City}}?,12457
SHIPPING,where to update the shipping address?,2337
ACCOUNT,I need assistance changing to the premium account,23977
ACCOUNT,I am trying to notify of issues with registrations,21363
INVOICE,what do i have to do to download my invoice #12588,15629
INVOICE,check invoices from {{Person Name}},4726
PAYMENT,how to see your allowed payment methods?,5042
PAYMENT,where do I check the accepted payment methods?,5623
PAYMENT,I don't know how to see your allowed payment modalities,5622
CONTACT,do you have a number to contact goddamn customer assistance?,8498
INVOICE,assistance giving a quick look at my bill from {{Person Name}},4038
CONTACT,want help talking to customer service,7970
CONTACT,i want  assistance speaking with an assistant,9844
CONTACT,i have to speak to an human agent,9405
INVOICE,need to get the invoicefrom {{Person Name}} can i get some help,15627
CANCEL,want assistance checking the cancellation fees,3550
ACCOUNT,Iam looking for information about opening a {{Account Category}} account,9963
FEEDBACK,can uhelp me lodge a customer complaint,7721
CONTACT,neerd help chatting with a human agent,9642
SUBSCRIPTION,could you help me receiving the corporate newsletter?,17810
CANCEL,I want assistance seeing the bloody cancellation fee,3050
CANCEL,where to check the termination fee?,3314
INVOICE,I want assistance to download the damn bill from {{Person Name}},15282
CANCEL,can you help me to check the early exit fees?,3270
REFUND,would it be possible to obtain damn compensations of money,16522
SUBSCRIPTION,I do not know how to sign up to the corporate newsletter,17618
REFUND,help checking in what cases can i request to be refunded,6461
CONTACT,talk to agent,9250
PAYMENT,tell available payment modalities,5403
SUBSCRIPTION,where to subscribe to the newsletter ?,17154
PAYMENT,help to notify of a payment issue,18830
SHIPPING,error editing shipping address,2106
PAYMENT,I try to check the payment modalities,5832
DELIVERY,od ya deliver to {{Delivery Country}},12116
DELIVERY,I want assistance to see how soon can I expect my purchase,13149
DELIVERY,can I place an order from {{Delivery Country}}?,12258
SHIPPING,how to update the shipping address?,2191
ACCOUNT,can you help me switching to the pro account?,24047
INVOICE,is it possible to give a quick look at the invoice #12588,4494
REFUND,when am I going to get a reimbursement?,15919
REFUND,can ushow me in which situations can i ask for refunds,6786
INVOICE,I don't know what I have to do to get bill #00108,15698
SHIPPING,I want assistance correcting the delivery address,2736
DELIVERY,I am trying to see when my package is going to arrive,13523
DELIVERY,how do I see how long it takes for my damn parcel to arrive?,13609
PAYMENT,I don't know how to report an issue with online payments,18324
INVOICE,wanna look for bill #85632,4437
PAYMENT,i want assistance to list ur available payment modalities,5628
FEEDBACK,i have got to file a claim against ur business,7629
ORDER,canmcel order {{Order Number}},305
SHIPPING,I do not know how to submit the new shipping address,22977
PAYMENT,can you help me to solve issues with online payment?,18288
FEEDBACK,how tolodge a customer complaint,7266
SHIPPING,I have problesm with a delivery address update,2104
REFUND,I need to see if there is anything new on the compensation,26696
SHIPPING,problems setting up the delivery address,23765
ORDER,I ma trying to see the status of order {{Order Number}},25762
SUBSCRIPTION,I need to sign up to your company newsletter,17853
INVOICE,help looking for the bill #00108,4338
SHIPPING,there is an issue setting up the secondary delivery address,23451
SHIPPING,"the damn shipping address has changed, can I correct it?",2934
DELIVERY,I have to see when will my article arrive,13760
INVOICE,I do not know how I could download the bill #00108,15016
CONTACT,uhave a free of charge number to talk with customer support,8490
SHIPPING,i have errors modifying my shipping address,2265
CONTACT,can ya help me contact an operator,9328
SHIPPING,error setting up a damn new shipping address,23549
SUBSCRIPTION,help me checking the status of my newsletter subscription,17530
CANCEL,where can i check the early exit charges,3510
PAYMENT,I need assistance to see your accepted payment options,5188
DELIVERY,is it possible to order from {{Delivery City}} ?,11970
ACCOUNT,where do i notify of issues with signup,21677
SUBSCRIPTION,how can I get information about my newsletter subscription?,17589
FEEDBACK,i dont know what i need to do to send some feedback,22195
REFUND,i dont know how to see ur money back policy,6529
ORDER,I have problems with canceling purchase {{Order Number}},718
ACCOUNT,i need help notifying of problems with a signup,21595
ACCOUNT,can you help me resetting my key?,20724
SUBSCRIPTION,I would like to unsubscribe to the company newsletter,17175
INVOICE,I do not know what I have to do to look for the bill #12588,4677
SHIPPING,"I have got to submit the secondary shipping address, help me",23613
REFUND,I am waiting for a compensation of {{Refund Amount}} doolars,26374
FEEDBACK,where could I file a consumer claim against your company?,7898
FEEDBACK,I am trying to lodge a customer complaint,7593
SHIPPING,my shipping address has changed how can i modify it,2702
REFUND,I'm waiting for a goddamn compensation of {{Refund Amount}} dollars,26829
INVOICE,help me take a quick look at my bills from {{Person Name}},4902
CANCEL,i do not know how to check the early termination fee,3186
DELIVERY,"I have to see the shipping options, could I get some help?",12385
FEEDBACK,can you help me submit feedback for a product?,22348
INVOICE,I want help giving a quick look at invoice #85632,4470
DELIVERY,do ya deoiver to {{Delivery City}},12332
DELIVERY,where can i find information about the delivery periods,13575
SHIPPING,I need to modify my delivery address,2881
PAYMENT,can uhelp me check what damn pamyent options are accepted,5597
CANCEL,help me to check the early exit charge,3679
DELIVERY,I am trying to check how soon can I expct my parcel,13208
FEEDBACK,I don't know how to write a review about a service,22571
